Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-07-03,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-07-02,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-07-01,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-30,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-29,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-28,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-27,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-26,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-25,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-24,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-23,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-22,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-21,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-20,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-19,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-18,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-17,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-16,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-15,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-14,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-13,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-12,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-11,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-10,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-09,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-08,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-07,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-06,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-05,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-04,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-03,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-02,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-06-01,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-05-31,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-05-30,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-05-29,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-05-28,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-05-27,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
2019-05-26,LTCBTC,0.02389,0.02389,0.02389,0.02389,0.0,0.0
