Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume CAD
2019-04-27 12-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 11-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 10-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 09-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 08-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 07-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 06-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 05-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 04-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 03-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 02-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 01-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-27 12-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 11-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 10-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 09-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 08-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 07-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 06-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 05-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 04-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 03-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 02-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 01-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 12-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 11-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 10-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 09-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 08-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 07-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 06-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 05-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 04-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 03-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 02-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 01-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26 12-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 11-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 10-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 09-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 08-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 07-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 06-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 05-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 04-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 03-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 02-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 01-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 12-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 11-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 10-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 09-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 08-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 07-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 06-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 05-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 04-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 03-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 02-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 01-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25 12-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 11-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 10-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 09-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 08-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 07-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 06-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 05-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 04-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 03-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 02-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 01-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 12-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 11-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 10-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 09-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 08-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 07-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 06-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 05-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 04-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 03-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 02-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 01-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24 12-AM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 11-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 10-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 09-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 08-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 07-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 06-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 05-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 04-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 03-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 02-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 01-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23 12-PM,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
