Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2019-08-07,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-08-06,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-08-05,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-08-04,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-08-03,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-08-02,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-08-01,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-31,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-30,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-29,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-28,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-27,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-26,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-25,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-24,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-23,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-22,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-21,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-20,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-19,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-18,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-17,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-16,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-15,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-14,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-13,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-12,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-11,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-10,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-09,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-08,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-07,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-06,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-05,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-04,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-03,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-02,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-07-01,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-30,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-29,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-28,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-27,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-26,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-25,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-24,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-23,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-22,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-21,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-20,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-19,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-18,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-17,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-16,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-15,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-14,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-13,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-12,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-11,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-10,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-09,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-08,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-07,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-06,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-05,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-04,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-03,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-02,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-06-01,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-31,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-30,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-29,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-28,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-27,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-26,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-25,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-24,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-23,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-22,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-21,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-20,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-19,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-18,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-17,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-16,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-15,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-14,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-13,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-12,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-11,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-10,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-09,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-08,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-07,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-06,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-05,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-04,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-03,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-02,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-05-01,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-30,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-29,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-28,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-27,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-26,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-25,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-24,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-23,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-22,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-21,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-20,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-19,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-18,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-17,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-16,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-15,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-14,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-13,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-12,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-11,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-10,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-09,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-08,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-07,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-06,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-05,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-04,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-03,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-02,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-04-01,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-19,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-18,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-17,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-16,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-15,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-14,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-13,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-12,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-11,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-10,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-09,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-08,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-07,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-06,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-05,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-04,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-03,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-02,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-03-01,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-28,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-27,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-26,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-25,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-24,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-23,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-22,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-21,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-20,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-19,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-18,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
2019-02-17,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
